Data e Hora,Velocidade do Vento,Direção do Vento,Temperatura,Umidade Relativa,Precipitação,Pressão Atmosférica,Radiação Solar,PM2.5,PM10,Dióxido de Enxofre,Monóxido de Carbono,Ozônio,Monóxido de Nitrogênio,Óxidos de Nitrogênio,Dióxido de Nitrogênio,HCT,Metano,HCNM,Monóxido de Carbono Média Móvel,Data.1,Hora.1,Média Horária
2010-01-07 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,31.1,1,3.2,2.2,,,,,,,
2010-01-07 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,24.8,0.8,2.8,2.5,,,,,,,
2010-01-07 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,19,0,Alarm,22,1,3.2,2.5,,,,,,,
2010-01-07 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,34,0,Alarm,19,1,3.3,2.7,,,,,,,
2010-01-07 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,27,Alarm,Alarm,14.9,1,3.3,2.7,,,,,,,
2010-01-07 20:00:00,InVld,InVld,InVld,InVld,InVld,,,,27,Alarm,Alarm,11.2,1,4,3.3,,,,,,,
2010-01-07 21:00:00,InVld,InVld,InVld,InVld,InVld,,,,16,Alarm,Alarm,9.9,Samp<,Samp<,Samp<,,,,,,,
2010-01-07 22:00:00,InVld,InVld,InVld,InVld,InVld,,,,8,InVld,Alarm,3.8,1,4.8,4,,,,,,,
2010-01-07 23:00:00,InVld,InVld,InVld,InVld,InVld,,,,17,InVld,Alarm,0.7,4,9.5,5,,,,,,,
2010-01-07 00:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,InVld,Alarm,1.2,2.7,7.3,4.7,,,,,,,
2010-01-08 01:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,5.9,InVld,InVld,InVld,,,,,,,
2010-01-08 02:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,Alarm,8.7,InVld,InVld,InVld,,,,,,,
2010-01-08 03:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,10.1,InVld,InVld,InVld,,,,,,,
2010-01-08 04:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,8.1,InVld,InVld,InVld,,,,,,,
2010-01-08 05:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,Alarm,7.8,InVld,InVld,InVld,,,,,,,
2010-01-08 06:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,4.1,InVld,InVld,InVld,,,,,,,
2010-01-08 07:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,5.9,InVld,InVld,InVld,,,,,,,
2010-01-08 08:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,Alarm,15.1,InVld,InVld,InVld,,,,,,,
2010-01-08 09:00:00,InVld,InVld,InVld,InVld,InVld,,,,7,0,Alarm,20.6,InVld,InVld,InVld,,,,,,,
2010-01-08 10:00:00,InVld,InVld,InVld,InVld,InVld,,,,14,0,Alarm,29.3,InVld,InVld,InVld,,,,,,,
2010-01-08 11:00:00,InVld,InVld,InVld,InVld,InVld,,,,13,0,Alarm,39.8,InVld,InVld,InVld,,,,,,,
2010-01-08 12:00:00,InVld,InVld,InVld,InVld,InVld,,,,9,0,InVld,50.7,InVld,InVld,InVld,,,,,,,
2010-01-08 13:00:00,InVld,InVld,InVld,InVld,InVld,,,,6,0,Alarm,57.7,InVld,InVld,InVld,,,,,,,
2010-01-08 14:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,44.8,InVld,InVld,InVld,,,,,,,
2010-01-08 15:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,50.7,InVld,InVld,InVld,,,,,,,
2010-01-08 16:00:00,InVld,InVld,InVld,InVld,InVld,,,,4,0,Alarm,52,InVld,InVld,InVld,,,,,,,
2010-01-08 17:00:00,InVld,InVld,InVld,InVld,InVld,,,,3,0,Alarm,38.5,InVld,InVld,InVld,,,,,,,
2010-01-08 18:00:00,InVld,InVld,InVld,InVld,InVld,,,,5,0,Alarm,30.8,InVld,InVld,InVld,,,,,,,
2010-01-08 19:00:00,InVld,InVld,InVld,InVld,InVld,,,,16,0,Alarm,22.1,InVld,InVld,InVld,,,,,,,
